symbol,log2FC,p_value_neg,p_value_pos,p_value_twosided
SF3B3,-3.588896212,0.000225583,0.999996383,0.002044768
CTSD,-3.588915376,0.000228433,0.999995967,0.002069368
PBX3,-3.588935699,0.000225548,0.999996387,0.002044463
ATF3,-3.589054656,0.000227894,0.999996014,0.002064715
GSG1,-3.589107526,0.000224329,0.999996554,0.002033934
ARSD,-3.589194747,0.000224787,0.999996487,0.002037893
FAM24B,-3.589310395,0.000226046,0.999996302,0.002048765
TCTEX1D1,-3.589377689,0.000226986,0.999996163,0.002056878
ORM1,-3.589504020,0.000226541,0.999996227,0.002053039
INVS,-3.589529463,0.000229788,0.999995751,0.002081059
UTP14C,-3.589580106,0.000224125,0.999996567,0.002032172
ANXA8,-3.589686793,0.000241614,0.999993726,0.002182929
VSTM2A,-3.589884218,0.000241137,0.999993769,0.002178818
SAPCD2,-3.590038894,0.000228754,0.999995883,0.002072139
TBCCD1,-3.590101145,0.000230379,0.999995635,0.002086158
RGSL1,-3.590186438,0.000229034,0.999995801,0.002074558
KRT3,-3.590206916,0.000228697,0.999995910,0.002071650
C16orf92,-3.590329861,0.000232355,0.999995270,0.002103199
LMOD3,-3.590534805,0.000256279,0.999995262,0.002308848
FAM46C,-3.590535574,0.000226234,0.999996235,0.002050386
GEMIN8,-3.590685786,0.000229548,0.999995766,0.002078992
FBXO42,-3.590704921,0.000224498,0.999996479,0.002035402
GYPA,-3.590894898,0.000224374,0.999996489,0.002034326
ABCC5,-3.591015369,0.000226025,0.999996242,0.002048581
TRAPPC10,-3.591041906,0.000230162,0.999995639,0.002084286
RPL31,-3.591058107,0.000229253,0.999995737,0.002076446
CCL11,-3.591150400,0.000225918,0.999996247,0.002047658
CELA3B,-3.591193261,0.000240465,0.999993864,0.002173042
HTR2C,-3.591232069,0.000225223,0.999996351,0.002041655
TRPM3,-3.591568463,0.000230470,0.999995550,0.002086940
ALYREF,-3.591602880,0.001041282,0.999931121,0.005746204
ZCCHC6,-3.591662262,0.000232273,0.999995310,0.002102490
DPH6,-3.591765531,0.000226335,0.999996191,0.002051261
ZNF646,-3.591792671,0.000224310,0.999996469,0.002033774
DGKE,-3.591795005,0.000232209,0.999995329,0.002101936
BAZ2A,-3.591830027,0.000224010,0.999996510,0.002031178
