symbol,log2FC,p_value_neg,p_value_pos,p_value_twosided
STXBP5,-3.046767895,0.000473787,0.999987671,0.004135649
USP47,-3.017338923,0.000473852,0.999989478,0.004136182
MEGF8,-3.579207367,0.000473883,0.999986774,0.004136438
SLC16A5,-3.888441444,0.000473893,0.999955917,0.004136520
C2CD5,-2.994949431,0.000473927,0.999990944,0.004136799
HPGDS,-3.031247383,0.000473937,0.999988600,0.004136888
MBD4,-3.574686906,0.000474011,0.999979834,0.004137495
EFHC2,-3.054533867,0.000474041,0.999989123,0.004137739
FANCA,-3.279037224,0.000474078,0.999975507,0.004138045
ENGASE,-3.012458660,0.000474113,0.999989862,0.004138336
BLOC1S1,-2.993088224,0.000474150,0.999991031,0.004138641
CAMKV,-3.001863534,0.000474459,0.999990480,0.004141193
GLRA4,-3.005236548,0.000474541,0.999990207,0.004141869
MPLKIP,-3.009275569,0.000474562,0.999990016,0.004142044
RPS20,-3.075905417,0.000474617,0.999985304,0.004142494
GNB1,-3.008959939,0.000474625,0.999990049,0.004142558
MEA1,-3.013359226,0.000474734,0.999989721,0.004143457
DAD1,-2.996750222,0.000474811,0.999990746,0.004144094
PAN3,-3.322295643,0.000474957,0.999987843,0.004145300
EIF2AK2,-3.083583032,0.000474973,0.999984424,0.004145433
ZNF70,-3.029645522,0.000474994,0.999988601,0.004145610
GPR22,-2.992513060,0.000475243,0.999990942,0.004147664
AHNAK2,-2.995773900,0.000475245,0.999990731,0.004147678
ZNF439,-3.005964807,0.000475248,0.999990045,0.004147705
OR10S1,-3.016444515,0.000475311,0.999989381,0.004148224
NRIP2,-2.997122256,0.000475342,0.999990639,0.004148478
PPP3R2,-3.577069431,0.000475446,0.999981291,0.004149338
FMO1,-2.994377383,0.000475469,0.999990804,0.004149527
CELA2A,-3.970790569,0.000475512,0.999916111,0.004149881
CRAMP1L,-3.000437334,0.000475575,0.999990424,0.004150397
ZNF417,-2.996773812,0.000475589,0.999990633,0.004150512
MAT1A,-3.125581840,0.000475624,0.999989427,0.004150801
KIF14,-3.076232337,0.000475725,0.999985044,0.004151636
C2orf81,-3.004929673,0.000475755,0.999990126,0.004151887
PPP2R5A,-3.046050344,0.000475767,0.999987438,0.004151986
ATP13A3,-2.994126161,0.000475792,0.999990771,0.004152194
IGBP1,-3.027866235,0.000475838,0.999988604,0.004152571
SLC44A5,-2.992116196,0.000475903,0.999990862,0.004153110
ACO1,-2.993807380,0.000475906,0.999990775,0.004153131
VPS36,-2.985613069,0.000475940,0.999991252,0.004153409
PCYOX1,-3.050229057,0.000476033,0.999986671,0.004154183
DPCR1,-2.998876532,0.000476079,0.999990463,0.004154556
MPND,-2.997061604,0.000476311,0.999990518,0.004156471
GCK,-2.941175840,0.000476312,0.999982191,0.004156482
PRR14,-3.667531065,0.000476362,0.999987180,0.004156897
FUNDC1,-3.748054999,0.000476429,0.999974084,0.004157449
TSNAX,-2.987707507,0.000476445,0.999991067,0.004157579
ZNF267,-3.034537151,0.000476453,0.999988006,0.004157643
ADRA2C,-3.051632631,0.000476456,0.999990627,0.004157672
OTUB2,-3.010247473,0.000476493,0.999989667,0.004157978
C8orf44-SGK3,-3.002931937,0.000476896,0.999990112,0.004161299
ZSCAN31,-2.875999503,0.000477161,0.999990783,0.004163487
HTR4,-2.996314249,0.000477191,0.999990464,0.004163731
KRTAP4-5,-2.993631988,0.000477235,0.999990632,0.004164096
PTPN6,-2.989776932,0.000477292,0.999990844,0.004164566
UBTD2,-3.002259416,0.000477298,0.999990006,0.004164613
DHRS7,-2.986116081,0.000477409,0.999991046,0.004165530
SOGA3,-2.994160424,0.000477436,0.999990568,0.004165756
SMDT1,-2.987883913,0.000477489,0.999990923,0.004166194
RSPH10B2,-3.001810164,0.000477656,0.999990050,0.004167571
CEP85L,-3.006243990,0.000477731,0.999989761,0.004168187
C3orf84,-3.006654385,0.000477753,0.999989666,0.004168372
POLR3A,-2.987775290,0.000477901,0.999990899,0.004169588
TAF1L,-2.984433410,0.000478188,0.999991052,0.004171953
TRABD2A,-2.994231972,0.000478231,0.999990436,0.004172313
STRA8,-3.552274467,0.000478322,0.999976199,0.004173064
NDC1,-3.876823882,0.000478807,0.999937368,0.004177065
SEZ6L,-2.987866403,0.000478829,0.999990765,0.004177241
PARP11,-3.005498707,0.000478842,0.999989719,0.004177352
WDR82,-3.022431554,0.000478919,0.999988500,0.004177986
EYA2,-2.989173835,0.000478927,0.999990688,0.004178050
UQCRB,-2.997544736,0.000478991,0.999990122,0.004178582
PELI2,-2.987908433,0.000479024,0.999990741,0.004178854
ARIH2,-3.347181120,0.000479087,0.999984089,0.004179366
NXNL1,-3.005853726,0.000479182,0.999989590,0.004180151
EPB41,-3.019506030,0.000479377,0.999988661,0.004181761
GALE,-4.409321817,0.000479457,0.999974358,0.002721151
NUDT4,-3.011679920,0.000479465,0.999989255,0.004182486
CEBPG,-2.979953614,0.000479466,0.999991160,0.004182497
ANKS3,-2.981687216,0.000479623,0.999991047,0.004183789
ZNRF4,-3.126530614,0.000479661,0.999979251,0.004184103
NEDD1,-2.982061266,0.000479679,0.999991011,0.004184253
CA11,-3.711674185,0.000479703,0.999987188,0.004184454
CCAR2,-2.988622811,0.000479902,0.999990604,0.004186090
ZNF143,-2.998669559,0.000479939,0.999989994,0.004186398
FKBP15,-2.977581632,0.000480214,0.999991210,0.004188666
UGGT2,-3.115836185,0.000480398,0.999980052,0.004190181
UBE2D3,-2.985167644,0.000480422,0.999990737,0.004190379
CATSPERB,-3.012741980,0.000480634,0.999989022,0.004192126
NCOA7,-3.382262860,0.000480744,0.999985287,0.004193037
HK3,-3.451835698,0.000480829,0.999984526,0.004193732
LILRA2,-3.420466161,0.000481027,0.999985170,0.004195366
VEPH1,-2.975287260,0.000481150,0.999991234,0.004196384
COPE,-2.990873461,0.000481203,0.999990290,0.004196820
RECQL5,-2.984111594,0.000481475,0.999990688,0.004199056
SMPDL3A,-4.060760078,0.000481496,0.999820032,0.004199231
RNF6,-3.705130179,0.000481528,0.999976684,0.004199501
ZNF219,-2.977371947,0.000481536,0.999991068,0.004199562
C15orf52,-2.975483301,0.000481729,0.999991154,0.004201150
ATF7IP,-3.726410345,0.000481793,0.999971682,0.004201678
MCUR1,-2.974562483,0.000481839,0.999991194,0.004202062
MCMDC2,-2.982095182,0.000481940,0.999990725,0.004202895
FOLR1,-2.978364113,0.000481969,0.999990955,0.004203130
KBTBD2,-3.010104419,0.000482000,0.999988929,0.004203391
TTPAL,-2.977576345,0.000482048,0.999990992,0.004203780
KCMF1,-2.978429931,0.000482119,0.999990937,0.004204368
ODF2L,-2.991381284,0.000482175,0.999990123,0.004204833
WAPAL,-3.002255896,0.000482204,0.999989428,0.004205070
CORO7-PAM16,-2.995370599,0.000482211,0.999989868,0.004205125
TRIM25,-2.984092143,0.000482260,0.999990586,0.004205534
TBPL1,-3.021707584,0.000482392,0.999988067,0.004206618
FES,-2.972748863,0.000482475,0.999991226,0.004207307
BAD,-2.998302514,0.000482579,0.999989685,0.004208159
ARL3,-2.996549188,0.000482628,0.999989802,0.004208561
KCNIP2,-2.979780494,0.000482686,0.999990797,0.004209042
KANSL2,-2.992295171,0.000482850,0.999990015,0.004210397
S100A7L2,-2.973769919,0.000482944,0.999991111,0.004211171
BCL7A,-3.535827277,0.000483084,0.999983130,0.004212321
ADCYAP1,-2.994102019,0.000483177,0.999989827,0.004213094
TRAF7,-2.994642848,0.000483205,0.999989811,0.004213321
AK7,-2.979912821,0.000483298,0.999990704,0.004214090
TMEM69,-2.995600301,0.000483481,0.999989679,0.004215594
UBA5,-2.979953014,0.000483599,0.999990651,0.004216571
DFNB59,-2.986943837,0.000483660,0.999990222,0.004217073
RALGAPB,-2.992115946,0.000483667,0.999989853,0.004217124
C4orf29,-2.972793222,0.000483680,0.999991079,0.004217237
JUN,-3.033443531,0.000483719,0.999987159,0.004217554
B4GALT1,-2.995308651,0.000483740,0.999989714,0.004217732
ABL2,-2.985916909,0.000483785,0.999990280,0.004218099
AMOT,-2.990891771,0.000483925,0.999989941,0.004219255
GPRIN3,-2.980745206,0.000484085,0.999990552,0.004220572
FAM200B,-2.993023744,0.000484130,0.999989818,0.004220942
LSM6,-2.980266508,0.000484182,0.999990569,0.004221372
CDK12,-2.974019616,0.000484249,0.999990944,0.004221927
